id,avg_latitude,avg_longitude,demand
92802,33.80797325616101,-117.92014043315267,147
92612,33.67213713955428,-117.84754478001685,133
80202,39.751132786563026,-104.99739026925175,111
94010,37.58465911458333,-122.34315809374999,96
98052,47.68401298242426,-122.13975395827464,91
92408,34.08681772087912,-117.26309387802198,91
94568,37.708108878313254,-121.89499982048191,83
75024,33.080499956017725,-96.82371381234059,78
94558,38.33855003464417,-122.33011855501442,78
20166,38.989059681004264,-77.4494927410991,66
94103,37.77685665238095,-122.40926168730158,63
94612,37.80620657527701,-122.26728228746985,59
80302,40.01702757247721,-105.27438668980732,58
33131,25.768286154586796,-80.1892199295855,52
94305,37.42751480392157,-122.17273425490195,51
80020,39.918504157073365,-105.06930612893326,50
30326,33.84947296530612,-84.36530078979592,49
94539,37.49985777207945,-121.93530539575018,49
01803,42.487262808333334,-71.20667892916667,48
95811,38.580107194583334,-121.49642937875001,48
95050,37.35223449434424,-121.94725787243986,47
90503,33.83989964558255,-118.3483715362317,46
90032,34.066791407857146,-118.18818476190476,42
66210,38.9258665284432,-94.69936914046299,41
21202,39.29077083678148,-76.6085277534869,41
15219,40.436620385,-79.98738960749999,40
20852,39.052374383420116,-77.1202699711663,39
60606,41.88253911578948,-87.63691383947369,38
92130,32.943847223815816,-117.2296953952756,38
27513,35.81709326614146,-78.77191123190174,35
28203,35.21240229037765,-80.85853018352941,34
85008,33.454849299574775,-111.97658265078175,33
64111,39.04992777419355,-94.59009435483871,31
97006,45.5218730954393,-122.85136824007988,31
92110,32.75996941935484,-117.19565746451613,31
02143,42.37890941333333,-71.09650481,30
12211,42.708323899999996,-73.77872263333333,30
78752,30.3264754,-97.7106936,30
91602,34.146409585854876,-118.36002542206856,29
91311,34.246497148928576,-118.58774903214285,28
20024,38.880533487571554,-77.02218674552611,28
21046,39.17642523277049,-76.83055670814493,27
90066,33.99390902327411,-118.42586363899656,27
84119,40.698106,-111.95105804,25
90808,33.822162187500005,-118.12852007083335,24
94523,37.956686769565216,-122.06748720869565,23
37210,36.1474587047619,-86.76067016666667,21
10011,40.74091421052631,-73.99983568421052,19
92056,33.18296457894737,-117.29809968421051,19
98122,47.61373032544405,-122.31570487706934,18